# TEST CONFIGURATION BEGIN
# FileStream(filename='covtype.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ARD] AdaptiveRandomForest(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=10, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.1, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.005, warning_detection_method=ADWIN(delta=0.01))
# EvaluatePrequentialAndAdapt(batch_size=1, data_points_for_classification=False, max_samples=581012, max_time=inf, metaKB={0.0: 60, 0.1: 30, 0.2: 30, 0.3: 30, 0.4: 60, 0.5: 70, 0.6: 60, 0.7: 30, 0.8: 30, 0.9: 30}, metrics=['accuracy', 'kappa', 'running_time', 'ram_hours'], n_wait=1000, output_file='Covertype_AdativeSetting_Trees_Adapt_Drift_ARDClassic_Run0.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARD],current_acc_[ARD],mean_kappa_[ARD],current_kappa_[ARD],training_time_[ARD],testing_time_[ARD],total_running_time_[ARD],ram_hours_[ARD]
177999,0.941085,0.945000,0.869978,0.897229,17043.930273,1841.505556,18885.435830,0.713212
178999,0.941085,0.941000,0.870399,0.882682,17131.202619,1850.016345,18981.218964,0.717322
179999,0.941140,0.951000,0.870911,0.904505,17239.855357,1861.694507,19101.549865,0.722620
180999,0.941222,0.956000,0.871486,0.914854,17329.338122,1871.230916,19200.569038,0.726772
181999,0.941304,0.956000,0.872074,0.911724,17434.984562,1883.317452,19318.302014,0.731798
182999,0.941477,0.973000,0.872925,0.941082,17539.944498,1895.771735,19435.716233,0.737369
183999,0.941665,0.976000,0.873738,0.950287,17648.183734,1908.390190,19556.573923,0.743598
184999,0.941721,0.952000,0.874152,0.904793,17763.299963,1921.120017,19684.419980,0.750921
185999,0.941733,0.944000,0.874507,0.886887,17888.121270,1933.869685,19821.990955,0.759334
186999,0.941729,0.941000,0.874828,0.884396,18009.357089,1946.668588,19956.025677,0.768261
187999,0.941773,0.950000,0.875380,0.887561,18134.574313,1959.634060,20094.208374,0.778140
188999,0.941780,0.943000,0.875789,0.880430,18249.066463,1970.867860,20219.934323,0.787769
189999,0.941675,0.922000,0.875851,0.847086,18337.548332,1978.791949,20316.340281,0.792976
190999,0.941661,0.939000,0.876173,0.876216,18457.572828,1990.858688,20448.431516,0.801316
191999,0.941721,0.953000,0.876714,0.900448,18582.367698,2003.237969,20585.605667,0.810243
192999,0.941826,0.962000,0.877285,0.920916,18702.174625,2015.811499,20717.986124,0.819694
193999,0.941925,0.961000,0.877862,0.916533,18824.618233,2028.558993,20853.177226,0.830210
194999,0.942069,0.970000,0.878440,0.940977,18950.497563,2041.354309,20991.851873,0.841967
195999,0.942150,0.958000,0.878849,0.918514,19069.397111,2052.825548,21122.222659,0.851504
