# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ARD] AdaptiveRandomForest(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=10, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.1, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.005, warning_detection_method=ADWIN(delta=0.01))
# EvaluatePrequentialAndAdapt(batch_size=1, data_points_for_classification=False, max_samples=45312, max_time=inf, metaKB={0.0: 60, 0.1: 30, 0.2: 30, 0.3: 30, 0.4: 60, 0.5: 70, 0.6: 60, 0.7: 30, 0.8: 30, 0.9: 30}, metrics=['accuracy', 'kappa', 'running_time', 'ram_hours'], n_wait=500, output_file='Electricity_AdativeSetting_Trees_Adapt_Drift_ARDClassic_Run0.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARD],current_acc_[ARD],mean_kappa_[ARD],current_kappa_[ARD],training_time_[ARD],testing_time_[ARD],total_running_time_[ARD],ram_hours_[ARD]
35999,0.856341,0.842000,0.701531,0.666114,2759.770736,168.427479,2928.198215,0.075634
36499,0.855537,0.798000,0.699531,0.523405,2789.870320,170.092635,2959.962955,0.076098
36999,0.855489,0.852000,0.699280,0.678054,2818.601714,171.735555,2990.337269,0.076562
37499,0.855094,0.826000,0.698359,0.634822,2849.035607,173.353760,3022.389367,0.077073
37999,0.854921,0.842000,0.697762,0.642612,2877.802330,175.017196,3052.819525,0.077500
38499,0.854386,0.814000,0.696809,0.624103,2907.045700,176.686886,3083.732586,0.077926
38999,0.854923,0.896000,0.698148,0.791359,2933.033421,178.343272,3111.376693,0.078287
39499,0.854885,0.852000,0.698544,0.702232,2959.463539,179.997511,3139.461050,0.078659
39999,0.855578,0.910000,0.700606,0.810299,2985.574891,181.635145,3167.210036,0.079045
40499,0.855682,0.864000,0.701122,0.729286,3012.508400,183.305129,3195.813529,0.079459
40999,0.856446,0.918000,0.703190,0.831353,3037.926561,184.955212,3222.881773,0.079867
41499,0.856465,0.858000,0.703666,0.709844,3062.778542,186.596293,3249.374835,0.080258
41999,0.857129,0.912000,0.705103,0.821371,3087.585548,188.240695,3275.826244,0.080655
42499,0.857447,0.884000,0.705805,0.763555,3113.980961,189.898448,3303.879409,0.081096
42999,0.857243,0.840000,0.705651,0.681833,3141.958179,191.547086,3333.505266,0.081568
43499,0.857275,0.860000,0.705595,0.699710,3169.742253,193.251847,3362.994099,0.082064
43999,0.856941,0.828000,0.704490,0.537555,3199.043453,194.951152,3393.994606,0.082443
44499,0.856343,0.804000,0.703223,0.592434,3225.405667,196.583048,3421.988715,0.082788
44999,0.856920,0.908000,0.704427,0.810964,3250.135964,198.196938,3448.332902,0.083129
45311,0.857000,0.890000,0.704756,0.777306,3266.840142,199.205714,3466.045856,0.083356
