# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ARD] AdaptiveRandomForest(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=10, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.1, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.005, warning_detection_method=ADWIN(delta=0.01))
# EvaluatePrequentialAndAdapt(batch_size=1, data_points_for_classification=False, max_samples=45312, max_time=inf, metaKB={0.0: 60, 0.1: 30, 0.2: 30, 0.3: 30, 0.4: 60, 0.5: 70, 0.6: 60, 0.7: 30, 0.8: 30, 0.9: 30}, metrics=['accuracy', 'kappa', 'running_time', 'ram_hours'], n_wait=50, output_file='Electricity_AdativeSetting_Trees_Adapt_Drift_ARDClassic_Run0.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARD],current_acc_[ARD],mean_kappa_[ARD],current_kappa_[ARD],training_time_[ARD],testing_time_[ARD],total_running_time_[ARD],ram_hours_[ARD]
8949,0.869371,0.740000,0.732688,0.508321,575.605206,43.170589,618.775795,0.010360
8999,0.869886,0.960000,0.733606,0.900990,579.702210,43.458778,623.160988,0.010499
9049,0.869944,0.880000,0.733512,0.633252,584.147823,43.751173,627.898996,0.010651
9099,0.869663,0.820000,0.732870,0.617997,589.547509,44.052018,633.599527,0.010835
9149,0.869832,0.900000,0.733300,0.800000,594.745102,44.350424,639.095525,0.011013
9199,0.870333,0.960000,0.734637,0.890591,598.421297,44.641332,643.062629,0.011143
9249,0.870497,0.900000,0.735244,0.749499,602.834422,44.931628,647.766050,0.011297
9299,0.867802,0.380000,0.729682,0.058323,611.050877,45.231890,656.282767,0.011580
9349,0.867978,0.900000,0.730169,0.796085,616.340234,45.524746,661.864980,0.011767
9399,0.867826,0.840000,0.730045,0.662162,621.460996,45.820145,667.281141,0.011950
9449,0.867459,0.800000,0.729273,0.600000,628.021215,46.117182,674.138397,0.012184
9499,0.867849,0.940000,0.730140,0.880000,633.943724,46.415995,680.359719,0.012399
9549,0.867914,0.880000,0.730416,0.753695,639.918824,46.715345,686.634169,0.012618
9599,0.867979,0.880000,0.730850,0.625935,645.274105,47.012294,692.286399,0.012815
9649,0.867831,0.840000,0.730427,0.615385,652.204330,47.309966,699.514296,0.013071
9699,0.867895,0.880000,0.730533,0.751656,657.818994,47.602783,705.421777,0.013280
9749,0.868168,0.920000,0.731129,0.840764,663.144148,47.901353,711.045501,0.013480
9799,0.868229,0.880000,0.731357,0.758065,667.593202,48.195904,715.789106,0.013650
9849,0.868187,0.860000,0.731285,0.718196,672.656333,48.493602,721.149936,0.013843
9899,0.868351,0.900000,0.731603,0.795417,678.837813,48.792279,727.630092,0.014079
9949,0.868615,0.920000,0.732165,0.840000,683.824538,49.090608,732.915146,0.014273
9999,0.868469,0.840000,0.732025,0.662162,691.326329,49.387524,740.713854,0.014561
10049,0.869036,0.980000,0.733384,0.951456,695.774236,49.678026,745.452262,0.014738
10099,0.869293,0.920000,0.734156,0.769053,700.102639,49.972765,750.075404,0.014911
10149,0.869447,0.900000,0.734674,0.749499,704.589765,50.269496,754.859261,0.015091
10199,0.869200,0.820000,0.734290,0.634146,709.990792,50.568768,760.559560,0.015307
10249,0.869353,0.900000,0.734650,0.801902,714.799828,50.868163,765.667991,0.015502
10299,0.869604,0.920000,0.735213,0.840764,720.050264,51.167716,771.217980,0.015716
10349,0.869852,0.920000,0.735731,0.838969,725.193961,51.460529,776.654490,0.015926
10399,0.870392,0.980000,0.736962,0.956063,730.366621,51.757466,782.124087,0.016140
10449,0.870244,0.840000,0.736737,0.675851,735.952751,52.059417,788.012168,0.016371
10499,0.870000,0.820000,0.736150,0.579439,742.187804,52.363919,794.551723,0.016630
10549,0.870048,0.880000,0.736346,0.751656,746.877516,52.666013,799.543529,0.016828
10599,0.869615,0.780000,0.735574,0.560000,752.697303,52.967834,805.665137,0.017073
10649,0.870144,0.980000,0.736493,0.935065,757.761987,53.265836,811.027824,0.017289
10699,0.870762,1.000000,0.737735,1.000000,762.370770,53.559937,815.930707,0.017487
10749,0.870806,0.880000,0.737979,0.719101,767.929271,53.855541,821.784812,0.017726
10799,0.870660,0.840000,0.737602,0.630314,774.179743,54.160524,828.340266,0.017995
10849,0.870986,0.940000,0.738173,0.854369,780.514698,54.465324,834.980022,0.018271
10899,0.870935,0.860000,0.738097,0.725275,787.050520,54.772020,841.822540,0.018556
10949,0.871256,0.940000,0.738538,0.637681,792.500898,55.073333,847.574231,0.018798
10999,0.871667,0.960000,0.739397,0.920000,797.019829,55.369477,852.389306,0.019002
11049,0.871982,0.940000,0.740127,0.876033,802.291632,55.665158,857.956790,0.019239
11099,0.872202,0.920000,0.740335,0.000000,806.551773,55.965772,862.517545,0.019434
11149,0.871142,0.640000,0.738192,0.343066,814.303072,56.268355,870.571428,0.019781
11199,0.871545,0.960000,0.739038,0.920000,819.095512,56.557048,875.652560,0.020001
11249,0.872036,0.980000,0.739813,0.846626,823.199028,56.850406,880.049434,0.020192
11299,0.871261,0.700000,0.738171,0.384236,831.074999,57.150577,888.225576,0.020550
11349,0.871570,0.940000,0.738794,0.878049,836.422211,57.445273,893.867484,0.020799
11399,0.872143,1.000000,0.739878,1.000000,841.490496,57.741831,899.232328,0.021037
11449,0.872533,0.960000,0.740724,0.919872,847.613414,58.044318,905.657731,0.021324
11499,0.872832,0.940000,0.741206,0.830700,852.916076,58.343550,911.259626,0.021576
11549,0.872775,0.860000,0.741027,0.690265,859.077870,58.643194,917.721064,0.021867
11599,0.871667,0.620000,0.738904,0.279211,867.621809,58.948143,926.569952,0.022267
11649,0.871528,0.840000,0.738769,0.633028,875.578097,59.250907,934.829005,0.022641
11699,0.871739,0.920000,0.739329,0.823009,880.532619,59.550365,940.082984,0.022880
11749,0.872035,0.940000,0.740051,0.868651,885.509533,59.851204,945.360737,0.023121
11799,0.871379,0.720000,0.738766,0.479941,893.398815,60.153215,953.552030,0.023498
11849,0.871330,0.860000,0.738457,0.000000,900.608557,60.405058,961.013616,0.023836
11899,0.869573,0.460000,0.734822,0.081633,907.584065,60.568666,968.152731,0.024158
